Version,Domain,Topic,Level,#,Requirement,Description,Gitbook link,,,Assessment,Issue Keys,Proposed Assessment,Source,Description (e.g. how),Comment / Precision,Workload,Delay
2026,APIzation,Design API,2,API-DES-#10,Predictable API,I design an easy to understand and use API,API-DES-#10,,,,,,,,,,
2026,APIzation,Design API,2,API-DES-#11,API Doc and Publication,I document and publish my APIs into the dedicated platform to gain visibility,API-DES-#11,,,,,,,,,,
2026,APIzation,Design API,3,API-DES-#20,Compliant with guidelines,I implement my APIs in compliance with API Ref Cards,API-DES-#20,,,,,,,,,,
2026,APIzation,Design API,3,API-DES-#22,Suppress direct API calls,I have suppress all direct access to my exposed API,API-DES-#22,,,,,,,,,,
2026,APIzation,Design API,4,API-DES-#31,API Publication global,All my API are published into the Dedicated tool,API-DES-#31,,,,,,,,,,
2026,APIzation,Usage Coverage,2,API-USC-#10,Usage adaptation,I provide the most appropriate type of APIs to my consumers  needs. (REST API for unitary synchronous Kafka Topic for unitary asynchronous Files for bulk),API-USC-#10,,,,,,,,,,
2026,APIzation,Usage Coverage,3,API-USC-#20,Segmentation,I manage data and operations segmentation for security purpose (authorisation confidentiality …),API-USC-#20,,,,,,,,,,
2026,APIzation,Usage Coverage,4,API-USC-#30,API Efficiency,I work on the efficiency of my APIs (Filtering Partial responses hypermedia multi-topics pre-caching...),API-USC-#30,,,,,,,,,,
2026,APIzation,Usage Experience,2,API-USX-#10,API Performances,I define the performance scalability and resiliency of my APIs adapted to my consumers needs,API-USX-#10,,,,,,,,,,
2026,APIzation,Usage Experience,3,API-USX-#21,API Version and changes,I manage breaking changes using versioning or avoiding it,API-USX-#21,,,,,,,,,,
2026,APIzation,Usage Experience,4,API-USX-#31,API Audit and Review,I audit review and plan quarterly analysis and impact on my API technical performance,API-USX-#31,,,,,,,,,,
2026,APIzation,Usage Experience,4,API-USX-#32,API Review by consumer,I consult my consumer to review their current needs and my API response to sustain them,API-USX-#32,,,,,,,,,,
2026,Data,Data Mastery,2,DAT-DMA-#11,Data Responsibility,I identify all the data that my digital product owns and for each of these data I identify the data owner & data steward,DAT-DMA-#11,,,,,,,,,,
2026,Data,Data Mastery,3,DAT-DMA-#30,Business semantic,I modeled and defined the data I own,DAT-DMA-#30,,,,,,,,,,
2026,Data,Data Mastery,4,DAT-DMA-#40,Business semantics evolutions,I have a process to manage all the business semantics evolutions and its impacts related to my digital product,DAT-DMA-#40,,,,,,,,,,
2026,Data,Data Mastery,5,DAT-DMA-#50,Ubiquitous Language,I ensure that the business language is consistent throughout including in the dashboards,DAT-DMA-#50,,,,,,,,,,
2026,Data,Data Provider,2,DAT-DPR-#10,Data Provider,I provide some data of my digital product business process,DAT-DPR-#10,,,,,,,,,,
2026,Data,Data Provider,3,DAT-DPR-#20,Data Provider,I provide the data of my digital product according to the defined ABB into a data asset in compliance with the business semantic,DAT-DPR-#20,,,,,,,,,,
2026,Data,Data Provider,4,DAT-DPR-#30,Data Provider,I ensure the historical depth and the lifecycle of data managed into all my data assets in compliance with the Business Semantic and I manage the impacts,DAT-DPR-#30,,,,,,,,,,
2026,Data,Data Provider,4,DAT-DPR-#31,Data Provider,I provide the data contract to all my data assets and I manage breaking changes.,DAT-DPR-#31,,,,,,,,,,
2026,Data,Data Provider,5,DAT-DPR-#40,Data Provider,I provide ALL the data of my digital product in compliance with the business semantic,DAT-DPR-#40,,,,,,,,,,
2026,Data,Data Provider,6,DAT-DPR-#50,Data Provider,I ensure that all my data assets are provided with all optimization for the provision and consumption parts,DAT-DPR-#50,,,,,,,,,,
2026,Data,Data Quality,2,DAT-QUA-#10,Data Quality,I identify all the critical data owned by my digital product and all business critical data I consume in my digital product,DAT-QUA-#10,,,,,,,,,,
